dteday,yr,mnth,hr,weekday,season,weathersit,cnt,registered,casual
2011-01-01,2011,January,0,Saturday,Spring,Clear,16,13,3
2011-01-01,2011,January,1,Saturday,Spring,Clear,40,32,8
2011-01-01,2011,January,2,Saturday,Spring,Clear,32,27,5
2011-01-01,2011,January,3,Saturday,Spring,Clear,13,10,3
2011-01-01,2011,January,4,Saturday,Spring,Clear,1,1,0
2011-01-01,2011,January,5,Saturday,Spring,Cloudy,1,1,0
2011-01-01,2011,January,6,Saturday,Spring,Clear,2,0,2
2011-01-01,2011,January,7,Saturday,Spring,Clear,3,2,1
2011-01-01,2011,January,8,Saturday,Spring,Clear,8,7,1
2011-01-01,2011,January,9,Saturday,Spring,Clear,14,6,8
2011-01-01,2011,January,10,Saturday,Spring,Clear,36,24,12
2011-01-01,2011,January,11,Saturday,Spring,Clear,56,30,26
2011-01-01,2011,January,12,Saturday,Spring,Clear,84,55,29
2011-01-01,2011,January,13,Saturday,Spring,Cloudy,94,47,47
2011-01-01,2011,January,14,Saturday,Spring,Cloudy,106,71,35
2011-01-01,2011,January,15,Saturday,Spring,Cloudy,110,70,40
2011-01-01,2011,January,16,Saturday,Spring,Cloudy,93,52,41
2011-01-01,2011,January,17,Saturday,Spring,Cloudy,67,52,15
2011-01-01,2011,January,18,Saturday,Spring,Light Snow/Rain,35,26,9
2011-01-01,2011,January,19,Saturday,Spring,Light Snow/Rain,37,31,6
2011-01-01,2011,January,20,Saturday,Spring,Cloudy,36,25,11
2011-01-01,2011,January,21,Saturday,Spring,Cloudy,34,31,3
2011-01-01,2011,January,22,Saturday,Spring,Cloudy,28,17,11
2011-01-01,2011,January,23,Saturday,Spring,Cloudy,39,24,15
2011-01-02,2011,January,0,Sunday,Spring,Cloudy,17,13,4
2011-01-02,2011,January,1,Sunday,Spring,Cloudy,17,16,1
2011-01-02,2011,January,2,Sunday,Spring,Cloudy,9,8,1
2011-01-02,2011,January,3,Sunday,Spring,Cloudy,6,4,2
2011-01-02,2011,January,4,Sunday,Spring,Cloudy,3,1,2
2011-01-02,2011,January,6,Sunday,Spring,Light Snow/Rain,2,2,0
2011-01-02,2011,January,7,Sunday,Spring,Cloudy,1,1,0
2011-01-02,2011,January,8,Sunday,Spring,Light Snow/Rain,8,8,0
2011-01-02,2011,January,9,Sunday,Spring,Cloudy,20,19,1
2011-01-02,2011,January,10,Sunday,Spring,Cloudy,53,46,7
2011-01-02,2011,January,11,Sunday,Spring,Cloudy,70,54,16
2011-01-02,2011,January,12,Sunday,Spring,Cloudy,93,73,20
2011-01-02,2011,January,13,Sunday,Spring,Cloudy,75,64,11
2011-01-02,2011,January,14,Sunday,Spring,Light Snow/Rain,59,55,4
2011-01-02,2011,January,15,Sunday,Spring,Light Snow/Rain,74,55,19
2011-01-02,2011,January,16,Sunday,Spring,Light Snow/Rain,76,67,9
2011-01-02,2011,January,17,Sunday,Spring,Clear,65,58,7
2011-01-02,2011,January,18,Sunday,Spring,Cloudy,53,43,10
2011-01-02,2011,January,19,Sunday,Spring,Clear,30,29,1
2011-01-02,2011,January,20,Sunday,Spring,Clear,22,17,5
2011-01-02,2011,January,21,Sunday,Spring,Clear,31,20,11
2011-01-02,2011,January,22,Sunday,Spring,Clear,9,9,0
2011-01-02,2011,January,23,Sunday,Spring,Clear,8,8,0
2011-01-03,2011,January,0,Monday,Spring,Clear,5,5,0
2011-01-03,2011,January,1,Monday,Spring,Clear,2,2,0
2011-01-03,2011,January,4,Monday,Spring,Clear,1,1,0
2011-01-03,2011,January,5,Monday,Spring,Clear,3,3,0
2011-01-03,2011,January,6,Monday,Spring,Clear,30,30,0
2011-01-03,2011,January,7,Monday,Spring,Clear,64,63,1
2011-01-03,2011,January,8,Monday,Spring,Clear,154,153,1
2011-01-03,2011,January,9,Monday,Spring,Clear,88,81,7
2011-01-03,2011,January,10,Monday,Spring,Clear,44,33,11
2011-01-03,2011,January,11,Monday,Spring,Clear,51,41,10
2011-01-03,2011,January,12,Monday,Spring,Clear,61,48,13
2011-01-03,2011,January,13,Monday,Spring,Clear,61,53,8
2011-01-03,2011,January,14,Monday,Spring,Clear,77,66,11
2011-01-03,2011,January,15,Monday,Spring,Clear,72,58,14
2011-01-03,2011,January,16,Monday,Spring,Clear,76,67,9
2011-01-03,2011,January,17,Monday,Spring,Clear,157,146,11
2011-01-03,2011,January,18,Monday,Spring,Clear,157,148,9
2011-01-03,2011,January,19,Monday,Spring,Clear,110,102,8
2011-01-03,2011,January,20,Monday,Spring,Clear,52,49,3
2011-01-03,2011,January,21,Monday,Spring,Clear,52,49,3
2011-01-03,2011,January,22,Monday,Spring,Clear,20,20,0
2011-01-03,2011,January,23,Monday,Spring,Clear,12,11,1
2011-01-04,2011,January,0,Tuesday,Spring,Clear,5,5,0
2011-01-04,2011,January,1,Tuesday,Spring,Clear,2,2,0
2011-01-04,2011,January,2,Tuesday,Spring,Clear,1,1,0
2011-01-04,2011,January,4,Tuesday,Spring,Clear,2,2,0
2011-01-04,2011,January,5,Tuesday,Spring,Clear,4,4,0
2011-01-04,2011,January,6,Tuesday,Spring,Clear,36,36,0
2011-01-04,2011,January,7,Tuesday,Spring,Clear,94,92,2
2011-01-04,2011,January,8,Tuesday,Spring,Clear,179,177,2
2011-01-04,2011,January,9,Tuesday,Spring,Clear,100,98,2
2011-01-04,2011,January,10,Tuesday,Spring,Cloudy,42,37,5
2011-01-04,2011,January,11,Tuesday,Spring,Clear,57,50,7
2011-01-04,2011,January,12,Tuesday,Spring,Clear,78,66,12
2011-01-04,2011,January,13,Tuesday,Spring,Clear,97,79,18
2011-01-04,2011,January,14,Tuesday,Spring,Clear,63,54,9
2011-01-04,2011,January,15,Tuesday,Spring,Clear,65,48,17
2011-01-04,2011,January,16,Tuesday,Spring,Clear,83,68,15
2011-01-04,2011,January,17,Tuesday,Spring,Clear,212,202,10
2011-01-04,2011,January,18,Tuesday,Spring,Clear,182,179,3
2011-01-04,2011,January,19,Tuesday,Spring,Clear,112,110,2
2011-01-04,2011,January,20,Tuesday,Spring,Clear,54,53,1
2011-01-04,2011,January,21,Tuesday,Spring,Clear,48,48,0
2011-01-04,2011,January,22,Tuesday,Spring,Clear,35,34,1
2011-01-04,2011,January,23,Tuesday,Spring,Clear,11,9,2
2011-01-05,2011,January,0,Wednesday,Spring,Clear,6,6,0
2011-01-05,2011,January,1,Wednesday,Spring,Clear,6,6,0
2011-01-05,2011,January,2,Wednesday,Spring,Clear,2,2,0
2011-01-05,2011,January,4,Wednesday,Spring,Clear,2,2,0
2011-01-05,2011,January,5,Wednesday,Spring,Clear,3,3,0
2011-01-05,2011,January,6,Wednesday,Spring,Clear,33,33,0
2011-01-05,2011,January,7,Wednesday,Spring,Clear,88,87,1
2011-01-05,2011,January,8,Wednesday,Spring,Clear,195,192,3
2011-01-05,2011,January,9,Wednesday,Spring,Clear,115,109,6
2011-01-05,2011,January,10,Wednesday,Spring,Clear,57,53,4
2011-01-05,2011,January,11,Wednesday,Spring,Clear,46,34,12
2011-01-05,2011,January,12,Wednesday,Spring,Clear,79,74,5
2011-01-05,2011,January,13,Wednesday,Spring,Clear,71,65,6
2011-01-05,2011,January,14,Wednesday,Spring,Clear,62,52,10
2011-01-05,2011,January,15,Wednesday,Spring,Clear,62,55,7
2011-01-05,2011,January,16,Wednesday,Spring,Clear,89,85,4
2011-01-05,2011,January,17,Wednesday,Spring,Clear,190,186,4
2011-01-05,2011,January,18,Wednesday,Spring,Clear,169,166,3
2011-01-05,2011,January,19,Wednesday,Spring,Clear,132,127,5
2011-01-05,2011,January,20,Wednesday,Spring,Clear,89,82,7
2011-01-05,2011,January,21,Wednesday,Spring,Clear,43,40,3
2011-01-05,2011,January,22,Wednesday,Spring,Clear,42,41,1
2011-01-05,2011,January,23,Wednesday,Spring,Clear,19,18,1
2011-01-06,2011,January,0,Thursday,Spring,Clear,11,11,0
2011-01-06,2011,January,1,Thursday,Spring,Clear,4,4,0
2011-01-06,2011,January,2,Thursday,Spring,Clear,2,2,0
2011-01-06,2011,January,4,Thursday,Spring,Cloudy,1,1,0
2011-01-06,2011,January,5,Thursday,Spring,Cloudy,4,4,0
2011-01-06,2011,January,6,Thursday,Spring,Cloudy,36,36,0
2011-01-06,2011,January,7,Thursday,Spring,Cloudy,95,95,0
2011-01-06,2011,January,8,Thursday,Spring,Clear,219,216,3
2011-01-06,2011,January,9,Thursday,Spring,Cloudy,122,116,6
2011-01-06,2011,January,10,Thursday,Spring,Clear,45,42,3
2011-01-06,2011,January,11,Thursday,Spring,Clear,59,57,2
2011-01-06,2011,January,12,Thursday,Spring,Clear,84,78,6
2011-01-06,2011,January,13,Thursday,Spring,Clear,67,55,12
2011-01-06,2011,January,14,Thursday,Spring,Clear,70,59,11
2011-01-06,2011,January,15,Thursday,Spring,Clear,62,54,8
2011-01-06,2011,January,16,Thursday,Spring,Clear,86,74,12
2011-01-06,2011,January,17,Thursday,Spring,Clear,172,163,9
2011-01-06,2011,January,18,Thursday,Spring,Clear,163,158,5
2011-01-06,2011,January,19,Thursday,Spring,Clear,112,109,3
2011-01-06,2011,January,20,Thursday,Spring,Clear,69,66,3
2011-01-06,2011,January,21,Thursday,Spring,Cloudy,48,48,0
2011-01-06,2011,January,22,Thursday,Spring,Cloudy,52,51,1
2011-01-06,2011,January,23,Thursday,Spring,Cloudy,23,19,4
2011-01-07,2011,January,0,Friday,Spring,Cloudy,17,13,4
2011-01-07,2011,January,1,Friday,Spring,Cloudy,7,5,2
2011-01-07,2011,January,2,Friday,Spring,Cloudy,1,1,0
2011-01-07,2011,January,4,Friday,Spring,Cloudy,1,1,0
2011-01-07,2011,January,5,Friday,Spring,Light Snow/Rain,5,5,0
2011-01-07,2011,January,6,Friday,Spring,Cloudy,34,26,8
2011-01-07,2011,January,7,Friday,Spring,Clear,84,76,8
2011-01-07,2011,January,8,Friday,Spring,Clear,210,190,20
2011-01-07,2011,January,9,Friday,Spring,Clear,134,125,9
2011-01-07,2011,January,10,Friday,Spring,Clear,63,47,16
2011-01-07,2011,January,11,Friday,Spring,Cloudy,67,48,19
2011-01-07,2011,January,12,Friday,Spring,Cloudy,59,50,9
2011-01-07,2011,January,13,Friday,Spring,Cloudy,73,64,9
2011-01-07,2011,January,14,Friday,Spring,Cloudy,50,43,7
2011-01-07,2011,January,15,Friday,Spring,Cloudy,72,63,9
2011-01-07,2011,January,16,Friday,Spring,Cloudy,87,82,5
2011-01-07,2011,January,17,Friday,Spring,Cloudy,187,178,9
2011-01-07,2011,January,18,Friday,Spring,Clear,123,116,7
2011-01-07,2011,January,19,Friday,Spring,Clear,95,92,3
2011-01-07,2011,January,20,Friday,Spring,Clear,51,50,1
2011-01-07,2011,January,21,Friday,Spring,Clear,39,39,0
2011-01-07,2011,January,22,Friday,Spring,Cloudy,36,34,2
2011-01-07,2011,January,23,Friday,Spring,Cloudy,15,14,1
2011-01-08,2011,January,0,Saturday,Spring,Cloudy,25,24,1
2011-01-08,2011,January,1,Saturday,Spring,Cloudy,16,15,1
2011-01-08,2011,January,2,Saturday,Spring,Cloudy,16,13,3
2011-01-08,2011,January,3,Saturday,Spring,Light Snow/Rain,7,7,0
2011-01-08,2011,January,4,Saturday,Spring,Light Snow/Rain,1,1,0
2011-01-08,2011,January,5,Saturday,Spring,Cloudy,5,5,0
2011-01-08,2011,January,6,Saturday,Spring,Cloudy,2,2,0
2011-01-08,2011,January,7,Saturday,Spring,Cloudy,9,8,1
2011-01-08,2011,January,8,Saturday,Spring,Light Snow/Rain,15,15,0
2011-01-08,2011,January,9,Saturday,Spring,Light Snow/Rain,20,20,0
2011-01-08,2011,January,10,Saturday,Spring,Cloudy,61,56,5
2011-01-08,2011,January,11,Saturday,Spring,Cloudy,62,60,2
2011-01-08,2011,January,12,Saturday,Spring,Cloudy,98,90,8
2011-01-08,2011,January,13,Saturday,Spring,Clear,102,95,7
2011-01-08,2011,January,14,Saturday,Spring,Clear,95,83,12
2011-01-08,2011,January,15,Saturday,Spring,Clear,74,69,5
2011-01-08,2011,January,16,Saturday,Spring,Clear,76,68,8
2011-01-08,2011,January,17,Saturday,Spring,Clear,69,64,5
2011-01-08,2011,January,18,Saturday,Spring,Clear,55,52,3
2011-01-08,2011,January,19,Saturday,Spring,Clear,30,26,4
2011-01-08,2011,January,20,Saturday,Spring,Clear,28,28,0
2011-01-08,2011,January,21,Saturday,Spring,Clear,37,35,2
2011-01-08,2011,January,22,Saturday,Spring,Clear,34,33,1
2011-01-08,2011,January,23,Saturday,Spring,Clear,22,22,0
2011-01-09,2011,January,0,Sunday,Spring,Clear,25,24,1
2011-01-09,2011,January,1,Sunday,Spring,Clear,12,12,0
2011-01-09,2011,January,2,Sunday,Spring,Clear,11,11,0
2011-01-09,2011,January,3,Sunday,Spring,Clear,4,4,0
2011-01-09,2011,January,4,Sunday,Spring,Clear,1,1,0
2011-01-09,2011,January,5,Sunday,Spring,Clear,1,1,0
2011-01-09,2011,January,6,Sunday,Spring,Clear,1,1,0
2011-01-09,2011,January,7,Sunday,Spring,Clear,6,5,1
2011-01-09,2011,January,8,Sunday,Spring,Clear,10,10,0
2011-01-09,2011,January,9,Sunday,Spring,Clear,19,19,0
2011-01-09,2011,January,10,Sunday,Spring,Clear,49,49,0
2011-01-09,2011,January,11,Sunday,Spring,Clear,49,47,2
2011-01-09,2011,January,12,Sunday,Spring,Clear,83,79,4
2011-01-09,2011,January,13,Sunday,Spring,Clear,75,69,6
2011-01-09,2011,January,14,Sunday,Spring,Clear,72,64,8
2011-01-09,2011,January,15,Sunday,Spring,Clear,82,77,5
2011-01-09,2011,January,16,Sunday,Spring,Clear,92,79,13
2011-01-09,2011,January,17,Sunday,Spring,Clear,62,59,3
2011-01-09,2011,January,18,Sunday,Spring,Clear,48,44,4
2011-01-09,2011,January,19,Sunday,Spring,Clear,41,40,1
2011-01-09,2011,January,20,Sunday,Spring,Clear,38,38,0
2011-01-09,2011,January,21,Sunday,Spring,Clear,20,19,1
2011-01-09,2011,January,22,Sunday,Spring,Clear,15,10,5
2011-01-09,2011,January,23,Sunday,Spring,Clear,6,6,0
2011-01-10,2011,January,0,Monday,Spring,Clear,5,3,2
2011-01-10,2011,January,1,Monday,Spring,Clear,1,0,1
2011-01-10,2011,January,2,Monday,Spring,Clear,3,3,0
2011-01-10,2011,January,3,Monday,Spring,Clear,1,1,0
2011-01-10,2011,January,4,Monday,Spring,Clear,3,2,1
2011-01-10,2011,January,5,Monday,Spring,Clear,3,3,0
2011-01-10,2011,January,6,Monday,Spring,Clear,31,31,0
2011-01-10,2011,January,7,Monday,Spring,Clear,77,75,2
2011-01-10,2011,January,8,Monday,Spring,Cloudy,188,184,4
2011-01-10,2011,January,9,Monday,Spring,Cloudy,94,92,2
2011-01-10,2011,January,10,Monday,Spring,Cloudy,31,31,0
2011-01-10,2011,January,11,Monday,Spring,Cloudy,30,28,2
2011-01-10,2011,January,12,Monday,Spring,Cloudy,52,47,5
2011-01-10,2011,January,13,Monday,Spring,Cloudy,54,50,4
2011-01-10,2011,January,14,Monday,Spring,Cloudy,47,47,0
2011-01-10,2011,January,15,Monday,Spring,Cloudy,45,43,2
2011-01-10,2011,January,16,Monday,Spring,Clear,74,70,4
2011-01-10,2011,January,17,Monday,Spring,Clear,178,174,4
2011-01-10,2011,January,18,Monday,Spring,Clear,155,154,1
2011-01-10,2011,January,19,Monday,Spring,Clear,95,92,3
2011-01-10,2011,January,20,Monday,Spring,Clear,74,73,1
2011-01-10,2011,January,21,Monday,Spring,Clear,38,37,1
2011-01-10,2011,January,22,Monday,Spring,Clear,24,22,2
2011-01-10,2011,January,23,Monday,Spring,Clear,18,18,0
2011-01-11,2011,January,0,Tuesday,Spring,Clear,12,10,2
2011-01-11,2011,January,1,Tuesday,Spring,Clear,3,3,0
2011-01-11,2011,January,2,Tuesday,Spring,Cloudy,3,3,0
2011-01-11,2011,January,5,Tuesday,Spring,Cloudy,6,6,0
2011-01-11,2011,January,6,Tuesday,Spring,Cloudy,27,27,0
2011-01-11,2011,January,7,Tuesday,Spring,Cloudy,99,97,2
2011-01-11,2011,January,8,Tuesday,Spring,Cloudy,217,214,3
2011-01-11,2011,January,9,Tuesday,Spring,Cloudy,130,127,3
2011-01-11,2011,January,10,Tuesday,Spring,Cloudy,54,51,3
2011-01-11,2011,January,11,Tuesday,Spring,Cloudy,35,31,4
2011-01-11,2011,January,12,Tuesday,Spring,Cloudy,57,55,2
2011-01-11,2011,January,13,Tuesday,Spring,Cloudy,52,46,6
2011-01-11,2011,January,14,Tuesday,Spring,Cloudy,63,60,3
2011-01-11,2011,January,15,Tuesday,Spring,Cloudy,47,45,2
2011-01-11,2011,January,16,Tuesday,Spring,Cloudy,76,72,4
2011-01-11,2011,January,17,Tuesday,Spring,Cloudy,136,130,6
2011-01-11,2011,January,18,Tuesday,Spring,Light Snow/Rain,95,94,1
2011-01-11,2011,January,19,Tuesday,Spring,Light Snow/Rain,51,51,0
2011-01-11,2011,January,20,Tuesday,Spring,Light Snow/Rain,32,32,0
2011-01-11,2011,January,21,Tuesday,Spring,Light Snow/Rain,20,20,0
2011-01-11,2011,January,22,Tuesday,Spring,Light Snow/Rain,29,28,1
2011-01-11,2011,January,23,Tuesday,Spring,Light Snow/Rain,19,18,1
2011-01-12,2011,January,0,Wednesday,Spring,Cloudy,7,7,0
2011-01-12,2011,January,1,Wednesday,Spring,Cloudy,6,6,0
2011-01-12,2011,January,2,Wednesday,Spring,Clear,1,1,0
2011-01-12,2011,January,5,Wednesday,Spring,Clear,5,5,0
2011-01-12,2011,January,6,Wednesday,Spring,Clear,16,16,0
2011-01-12,2011,January,7,Wednesday,Spring,Clear,54,54,0
2011-01-12,2011,January,8,Wednesday,Spring,Clear,128,125,3
2011-01-12,2011,January,9,Wednesday,Spring,Clear,81,78,3
2011-01-12,2011,January,10,Wednesday,Spring,Clear,39,39,0
2011-01-12,2011,January,11,Wednesday,Spring,Clear,35,32,3
2011-01-12,2011,January,12,Wednesday,Spring,Clear,55,52,3
2011-01-12,2011,January,13,Wednesday,Spring,Clear,49,49,0
2011-01-12,2011,January,14,Wednesday,Spring,Clear,44,44,0
2011-01-12,2011,January,15,Wednesday,Spring,Clear,49,48,1
2011-01-12,2011,January,16,Wednesday,Spring,Clear,68,63,5
2011-01-12,2011,January,17,Wednesday,Spring,Clear,139,139,0
2011-01-12,2011,January,18,Wednesday,Spring,Clear,137,135,2
2011-01-12,2011,January,19,Wednesday,Spring,Clear,83,82,1
2011-01-12,2011,January,20,Wednesday,Spring,Clear,56,54,2
2011-01-12,2011,January,21,Wednesday,Spring,Clear,57,57,0
2011-01-12,2011,January,22,Wednesday,Spring,Clear,33,32,1
2011-01-12,2011,January,23,Wednesday,Spring,Clear,20,19,1
2011-01-13,2011,January,0,Thursday,Spring,Clear,7,6,1
2011-01-13,2011,January,1,Thursday,Spring,Clear,2,2,0
2011-01-13,2011,January,2,Thursday,Spring,Clear,2,2,0
2011-01-13,2011,January,3,Thursday,Spring,Clear,3,3,0
2011-01-13,2011,January,4,Thursday,Spring,Clear,4,4,0
2011-01-13,2011,January,5,Thursday,Spring,Clear,3,3,0
2011-01-13,2011,January,6,Thursday,Spring,Clear,28,28,0
2011-01-13,2011,January,7,Thursday,Spring,Clear,72,72,0
2011-01-13,2011,January,8,Thursday,Spring,Clear,202,197,5
2011-01-13,2011,January,9,Thursday,Spring,Clear,139,137,2
2011-01-13,2011,January,10,Thursday,Spring,Cloudy,38,36,2
2011-01-13,2011,January,11,Thursday,Spring,Cloudy,37,33,4
2011-01-13,2011,January,12,Thursday,Spring,Clear,52,49,3
2011-01-13,2011,January,13,Thursday,Spring,Clear,83,81,2
2011-01-13,2011,January,14,Thursday,Spring,Clear,42,39,3
2011-01-13,2011,January,15,Thursday,Spring,Clear,60,55,5
2011-01-13,2011,January,16,Thursday,Spring,Clear,78,76,2
2011-01-13,2011,January,17,Thursday,Spring,Clear,162,158,4
2011-01-13,2011,January,18,Thursday,Spring,Clear,144,141,3
2011-01-13,2011,January,19,Thursday,Spring,Clear,99,98,1
2011-01-13,2011,January,20,Thursday,Spring,Clear,64,64,0
2011-01-13,2011,January,21,Thursday,Spring,Clear,40,40,0
2011-01-13,2011,January,22,Thursday,Spring,Clear,30,30,0
2011-01-13,2011,January,23,Thursday,Spring,Clear,15,14,1
2011-01-14,2011,January,0,Friday,Spring,Clear,14,14,0
2011-01-14,2011,January,1,Friday,Spring,Clear,5,5,0
2011-01-14,2011,January,2,Friday,Spring,Clear,1,1,0
2011-01-14,2011,January,3,Friday,Spring,Clear,1,1,0
2011-01-14,2011,January,5,Friday,Spring,Clear,8,8,0
2011-01-14,2011,January,6,Friday,Spring,Clear,17,17,0
2011-01-14,2011,January,7,Friday,Spring,Clear,70,70,0
2011-01-14,2011,January,8,Friday,Spring,Clear,158,156,2
2011-01-14,2011,January,9,Friday,Spring,Clear,117,117,0
2011-01-14,2011,January,10,Friday,Spring,Clear,44,40,4
